OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
5949,1506612,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2B,0563,2021/03/02 17:30:00+00
5950,1506613,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2A,0226,2021/03/02 19:00:00+00
5951,1506614,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,1,1A,0356,2021/03/02 22:45:00+00
5952,1506615,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,1,1B,0440,2021/03/06 06:44:00+00
5953,1506616,5404,01,TRAFFIC,23152(B) DUI BAC >.08,6,6D,0847,2021/03/06 09:29:00+00
5954,1506617,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6B,1401,2021/03/06 11:24:00+00
5955,1506618,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,6,6D,0841,2021/03/06 15:00:00+00
5956,1506619,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,4,4B,1326,2021/03/06 01:29:00+00
5957,1506624,2304,1,LARCENY,487(A) GRAND THEFT-AUTO PARTS,1,1A,0301,2021/03/02 10:39:00+00
5958,1506625,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,4,4C,1287,2021/03/04 23:08:00+00
5959,1506626,2299,01,BURGLARY,459 PC BURGLARY:VEHICLE,1,1B,0404,2021/03/06 13:15:00+00
5960,1506627,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5B,1621,2021/03/05 01:28:00+00
5961,1506628,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,5,5B,1603,2021/03/05 23:54:00+00
5962,1506629,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2C,0567,2021/03/04 14:55:00+00
5963,1506630,2999,091,TAMPERING,10852 VC VEHICLE TAMPERING,1,1A,0336,2021/03/05 11:00:00+00
5964,1506631,2310,1,LARCENY,530.5(E) PC THEFT OF MAIL,4,4C,1279,2021/03/06 02:00:00+00
5965,1506632,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2B,0541,2021/03/06 21:00:00+00
5966,1506633,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,6,6A,1081,2021/03/02 23:50:00+00
5967,1506634,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,3,3A,0706,2021/03/04 18:06:00+00
5968,1506635,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,6,6A,1014,2021/03/04 19:14:00+00
5969,1506637,5499,13,TRAFFIC VIO,23109(A)ILLEGAL SPEED CONTEST,4,4A,0908,2021/03/01 06:22:00+00
5970,1506642,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,6,6C,1405,2021/03/06 15:37:00+00
5971,1506645,2304,0,LARCENY,484 PC PETTY THEFT AUTO PART,1,1A,0308,2021/02/20 08:00:00+00
5972,1506647,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1443,2021/03/05 22:00:00+00
5973,1506648,2304,1,LARCENY,487(A) GRAND THEFT-AUTO PARTS,6,6C,1446,2021/03/06 14:30:00+00
5974,1506649,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1C,0429,2021/03/06 06:28:00+00
5975,1506650,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6E,1116,2021/03/06 23:53:00+00
5976,1506653,5212,02,WEAPON OFFENSE,417(A)2) PC BRANDISH FIREARM,6,6E,0877,2021/03/06 21:47:00+00
5977,1506654,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3M,0734,2021/03/06 22:30:00+00
5978,1506655,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3B,0718,2021/03/07 00:45:00+00
5979,1506656,4801,0,OBSTRUCTING,148(A)(1)PC RESIST PEACE OFFCR,1,1A,0302,2021/03/06 05:46:00+00
5980,1506657,5299,127,WEAPON OFFENSE,30305(A)(1) FELON POSS AMMO-F,6,6C,1141,2021/03/07 01:52:00+00
5981,1506658,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4B,0977,2021/03/06 09:39:00+00
5982,1506662,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,2,2C,0558,2021/03/07 03:07:00+00
5983,1506666,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,3,3M,0742,2021/03/05 20:35:00+00
5984,1506671,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2C,0568,2021/03/07 01:48:00+00
5985,1506680,2299,01,BURGLARY,459 PC BURGLARY:VEHICLE,6,6B,1038,2021/03/05 08:00:00+00
5986,1506683,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0784,2021/03/03 23:30:00+00
5987,1506684,2399,2,LARCENY,484 PC PETTY THEFT,6,6D,0856,2021/03/04 13:25:00+00
5988,1506685,2310,0,LARCENY,1708 US THEFT OF MAIL,4,4C,1269,2021/01/31 03:00:00+00
5989,1506690,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6C,1443,2021/03/06 02:00:00+00
5990,1506692,2604,0,FRAUD,529(A) FALSE PERSONATION-FEL,6,6B,1058,2021/03/06 07:05:00+00
5991,1506695,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,6,6C,1443,2021/03/07 06:28:00+00
5992,1506705,2205,3,BURGLARY,459.5 PC BURGLARY:SHOPLIFT <$950,3,3M,0742,2021/01/31 03:00:00+00
5993,1506706,2299,01,BURGLARY,459 PC BURGLARY:VEHICLE,3,3A,0765,2021/03/06 12:44:00+00
5994,1506708,2203,0,BURGLARY,459 PC BURGLARY:BUSINESS-FORCE,3,3B,0768,2021/03/06 12:20:00+00
5995,1506712,2205,3,BURGLARY,459.5 PC BURGLARY:SHOPLIFT <$950,3,3M,0742,2021/03/04 21:18:00+00
5996,1506713,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,4,4A,0927,2021/03/07 01:01:00+00
5997,1506714,2301,0A,LARCENY,487(C) GRAND THEFT-PERS <$950,1,1C,0419,2021/03/07 00:03:00+00
5998,1506715,2399,2,LARCENY,484 PC PETTY THEFT,6,6E,1115,2021/03/06 01:25:00+00
5999,1506716,2202,0,BURGLARY,459 PC BURGLARY:RESIDENCE-FORCE,1,1C,0416,2021/03/05 20:49:00+00
6000,1506717,2203,0,BURGLARY,459 PC BURGLARY:BUSINESS-FORCE,3,3B,0766,2021/03/05 10:57:00+00
6001,1506718,2202,0,BURGLARY,459 PC BURGLARY:RESIDENCE-FORCE,4,4B,1353,2021/03/04 03:00:00+00
6002,1506719,2204,0,BURGLARY,459 PC BURGLARY:RESIDENCE-NO FORCE,6,6D,0801,2021/03/05 06:57:00+00
6003,1506720,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2A,0516,2021/03/07 16:30:00+00
6004,1506721,2204,0,BURGLARY,459 PC BURGLARY:RESIDENCE-NO FORCE,1,1A,0103,2021/03/05 07:00:00+00
6005,1506722,3599,50,NARCOTICS,4573.5 BRING DRUGS INTO JAIL,3,3A,0721,2021/03/07 06:57:00+00
6006,1506723,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1C,0425,2021/03/07 05:30:00+00
6007,1506724,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,5,5C,1623,2021/03/07 07:18:00+00
6008,1506727,5005,2,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,6,6B,1004,2021/03/07 13:30:00+00
6009,1506731,2202,0,BURGLARY,459 PC BURGLARY:RESIDENCE-FORCE,2,2C,0606,2021/03/07 01:00:00+00
6010,1506732,2203,0,BURGLARY,459 PC BURGLARY:BUSINESS-FORCE,5,5B,1369,2021/03/07 12:46:00+00
6011,1506735,5213,5,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,3,3B,0738,2021/03/07 09:17:00+00
6012,1506736,5403,1,TRAFFIC,23152(F) DUI DRUGS,2,2A,0513,2021/03/07 04:49:00+00
6013,1506737,2399,23,LARCENY,487(A) GRAND THFT-RECYCL METAL,6,6D,0802,2021/03/02 20:35:00+00
6014,1506738,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1B,0442,2021/03/07 04:00:00+00
6015,1506739,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,1,1A,0338,2021/03/07 08:58:00+00
6016,1506740,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,6,6B,1064,2021/03/07 07:07:00+00
6017,1506741,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6B,1054,2021/03/07 08:31:00+00
6018,1506742,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2C,0567,2021/03/06 12:05:00+00
6019,1506743,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,2,2A,0515,2021/03/07 09:36:00+00
6020,1506749,2803,04,STOLEN PROP,496D(A) PURCH STLN VEH-FEL,1,1B,0421,2021/03/07 07:56:00+00
6021,1506750,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3A,0763,2021/03/07 13:30:00+00
6022,1506751,1313,19,BATTERY,242 PC BATTERY CIVILIAN,1,1A,0123,2021/03/06 00:00:00+00
6023,1506753,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6B,1068,2021/03/07 11:06:00+00
6024,1506755,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2A,0211,2021/01/24 11:25:00+00
6025,1506758,5401,0,TRAFFIC,20002(A) HIT/RUN-PROP DAMAGE,6,6C,1153,2021/02/27 21:17:00+00
6026,1506760,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,2,2A,0237,2021/03/01 11:33:00+00
6027,1506763,1313,19,BATTERY,242 PC BATTERY CIVILIAN,4,4C,1256,2021/03/06 21:00:00+00
6028,1506764,1313,19,BATTERY,242 PC BATTERY CIVILIAN,1,1C,0429,2021/03/07 01:10:00+00
6029,1506765,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6B,1003,2021/03/01 22:20:00+00
6030,1506767,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,1,1C,0429,2021/03/04 03:58:00+00
6031,1506768,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,1,1C,0438,2021/03/05 02:18:00+00
6032,1506769,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6B,1084,2021/03/05 23:22:00+00
6033,1506770,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6B,1084,2021/03/05 22:55:00+00
6034,1506771,2399,23,LARCENY,487(A) GRAND THFT-RECYCL METAL,6,6B,1019,2021/03/04 08:01:00+00
6035,1506772,2299,01,BURGLARY,459 PC BURGLARY:VEHICLE,1,1A,0336,2021/03/05 10:00:00+00
6036,1506773,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3A,0784,2021/03/05 19:54:00+00
6037,1506775,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,1,1C,0429,2021/03/06 02:40:00+00
6038,1506776,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6D,0847,2021/03/06 21:39:00+00
6039,1506780,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,6,6A,1011,2021/03/05 04:55:00+00
6040,1506783,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2B,0553,2021/03/07 22:00:00+00
6041,1506784,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1A,0344,2021/03/07 10:00:00+00
6042,1506785,2399,2,LARCENY,484 PC PETTY THEFT,5,5C,1642,2021/02/19 19:05:00+00
6043,1506787,2310,0,LARCENY,1708 US THEFT OF MAIL,6,6C,1114,2021/03/05 19:10:00+00
6044,1506789,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,2,2C,0623,2021/03/05 16:56:00+00
6045,1506792,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,2,2C,0611,2021/03/07 15:48:00+00
6046,1506793,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0764,2021/03/02 19:30:00+00
6047,1506795,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,2,2C,0603,2021/03/07 20:54:00+00
6048,1506800,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,3,3A,0707,2021/03/07 22:05:00+00
6049,1506801,2203,0,BURGLARY,459 PC BURGLARY:BUSINESS-FORCE,3,3A,0705,2021/02/14 08:01:00+00
6050,1506811,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,6,6E,1116,2021/03/06 07:01:00+00
6051,1506812,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,4,4B,1354,2021/03/07 07:28:00+00
6052,1506815,5404,10,TRAFFIC,23153(A) DUI ALCOHOL W/INJ,5,5C,1634,2021/03/08 00:23:00+00
6053,1506819,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3B,0767,2021/03/08 03:20:00+00
6054,1506820,3571,0,NARCOTICS,11378 HS POSS/SALE AMPHETAMINE,4,4B,0969,2021/03/08 00:54:00+00
6055,1506821,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,5,5A,1506,2021/03/08 00:23:00+00
6056,1506822,5299,127,WEAPON OFFENSE,30305(A)(1) FELON POSS AMMO-F,4,4B,1354,2021/03/07 07:51:00+00
6057,1506823,5213,7A,WEAPON OFFENSE,247.5 DISCH LASER OCC AIR CRFT,2,2B,0553,2021/03/08 04:42:00+00
6058,1506826,5707,5,TRESPASS,602(K)TRESPASS:INJURE PROPERTY,5,5C,1654,2021/03/07 22:51:00+00
6059,1506830,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2B,0553,2021/03/07 23:51:00+00
6060,1506831,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,5,5B,1369,2021/03/07 20:48:00+00
6061,1506832,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,6,6A,1061,2021/03/08 02:03:00+00
6062,1506833,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4C,1296,2021/03/07 06:00:00+00
6063,1506841,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6E,0878,2021/02/10 23:00:00+00
6064,1506845,2299,01,BURGLARY,459 PC BURGLARY:VEHICLE,4,4C,1251,2021/03/07 08:00:00+00
6065,1506846,2304,0,LARCENY,484 PC PETTY THEFT AUTO PART,2,2C,0626,2021/03/03 08:01:00+00
6066,1506847,5213,4,WEAPON OFFENSE,246 PC SHOOT OCCUP DWELL/VEH,2,2A,0502,2021/03/06 05:13:00+00
6067,1506849,2399,2,LARCENY,484 PC PETTY THEFT,5,5A,1522,2021/02/16 22:28:00+00
6068,1506850,2202,0,BURGLARY,459 PC BURGLARY:RESIDENCE-FORCE,1,1B,0422,2021/03/08 01:59:00+00
6069,1506851,2399,24,LARCENY,484 PC PETTY THFT-RECYCL METAL,5,5A,1398,2021/03/07 07:30:00+00
6070,1506852,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,1,1A,0103,2021/03/05 13:58:00+00
6071,1506854,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,6,6D,0847,2021/03/07 07:38:00+00
6072,1506855,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2C,0612,2021/03/08 07:00:00+00
6073,1506857,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,6,6D,0854,2021/03/07 10:06:00+00
6074,1506858,1212,0,ROBBERY,215(A) PC CARJACKING,2,2A,0513,2021/03/07 08:30:00+00
6075,1506859,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1B,0475,2021/03/07 05:00:00+00
6076,1506862,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,2,2A,0503,2021/03/04 20:00:00+00
6077,1506863,5213,5,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,6,6A,1053,2021/03/08 06:31:00+00
6078,1506864,5499,141,TRAFFIC,2800.1(A) VC EVADE PEACE OFCR,3,3B,0766,2021/03/06 16:36:00+00
6079,1506865,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,3,3B,0766,2021/03/04 06:10:00+00
6080,1506866,1313,19,BATTERY,242 PC BATTERY CIVILIAN,4,4C,1269,2021/03/08 13:04:00+00
6081,1506867,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,2,2B,0523,2021/03/08 00:07:00+00
6082,1506868,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,3,3B,0767,2021/03/06 22:00:00+00
6083,1506869,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,1,1A,0144,2021/03/05 20:01:00+00
6084,1506870,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2C,0614,2021/03/05 21:11:00+00
6085,1506871,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2C,0604,2021/03/06 01:32:00+00
6086,1506872,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,1,1A,0318,2021/03/05 17:20:00+00
6087,1506873,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,3,3A,0709,2021/03/05 19:00:00+00
6088,1506874,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2B,0552,2021/03/05 20:05:00+00
6089,1506875,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,1,1A,0136,2021/03/05 15:48:00+00
6090,1506878,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5C,1624,2021/03/08 16:00:00+00
6091,1506879,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,3,3B,0748,2021/03/07 09:41:00+00
6092,1506880,2999,38,VANDALISM,594(B)(1) VANDAL OVER $400-M,3,3B,0767,2021/03/08 07:25:00+00
6093,1506882,2999,38,VANDALISM,594(B)(1) VANDAL OVER $400-M,3,3B,0767,2021/03/08 07:25:00+00
6094,1506883,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1C,0449,2021/03/06 08:00:00+00
6095,1506884,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,UI,UI,UI,2021/03/08 16:50:00+00
6096,1506885,5403,1,TRAFFIC,23152(F) DUI DRUGS,2,2B,0532,2021/03/07 06:55:00+00
6097,1506886,2310,0,LARCENY,1708 US THEFT OF MAIL,4,4A,0902,2021/02/25 23:00:00+00
6098,1506887,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,6,6B,1077,2021/03/05 08:00:00+00
6099,1506888,5212,02,WEAPON OFFENSE,417(A)2) PC BRANDISH FIREARM,2,2A,0203,2021/03/08 14:56:00+00
6100,1506889,2203,0,BURGLARY,459 PC BURGLARY:BUSINESS-FORCE,3,3A,0775,2021/03/07 13:17:00+00
6101,1506890,2310,0,LARCENY,1708 US THEFT OF MAIL,6,6D,0851,2021/01/29 16:15:00+00
6102,1506891,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,3,3B,0728,2021/03/08 20:06:00+00
6103,1506892,2399,31,LARCENY,487(D)(2) GRAND THFT GUN >$950,1,1A,0113,2021/03/06 17:15:00+00
6104,1506893,2310,0,LARCENY,1708 US THEFT OF MAIL,2,2B,0532,2021/03/08 09:35:00+00
6105,1506894,2310,0,LARCENY,1708 US THEFT OF MAIL,1,1A,0106,2021/03/06 18:45:00+00
6106,1506906,2604,42,FRAUD,530.5(A) GET CRED W/OTH ID-FEL,4,4B,0977,2021/02/17 05:35:00+00
6107,1506916,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,6,6D,0847,2021/02/21 07:45:00+00
6108,1506919,2399,32,LARCENY,487(D)(2) GRAND THFT GUN <$950,1,1B,0440,2021/03/08 02:00:00+00
6109,1506921,2310,0,LARCENY,1708 US THEFT OF MAIL,4,4B,1346,2021/01/28 20:50:00+00
6110,1506922,2202,0,BURGLARY,459 PC BURGLARY:RESIDENCE-FORCE,4,4C,1298,2021/02/23 07:00:00+00
6111,1506929,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,2,2A,0231,2021/03/07 20:13:00+00
6112,1506930,2999,34,VANDALISM,594(A)(1) VANDALISM-GRAFFITI,6,6B,1084,2021/03/06 06:01:00+00
6113,1506931,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,4,4C,1285,2021/03/06 12:00:00+00
6114,1506932,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2A,0508,2021/03/07 18:47:00+00
6115,1506933,2203,0,BURGLARY,459 PC BURGLARY:BUSINESS-FORCE,6,6C,1134,2021/03/07 12:00:00+00
6116,1506936,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,5,5C,1623,2021/03/08 16:49:00+00
6117,1506937,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,3,3A,0704,2021/03/08 00:03:00+00
6118,1506941,5401,0,TRAFFIC,20002(A) HIT/RUN-PROP DAMAGE,4,4A,0907,2021/02/27 18:47:00+00
6119,1506943,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,6,6C,1409,2021/03/08 22:08:00+00
6120,1506945,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3A,0784,2021/03/01 02:11:00+00
6121,1506946,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,2,2B,0546,2021/03/08 16:00:00+00
6122,1506949,5212,02,WEAPON OFFENSE,417(A)2) PC BRANDISH FIREARM,2,2C,0603,2021/03/08 22:12:00+00
6123,1506951,5499,15,TRAFFIC,23103(A) RECKLESS ON HIGHWAY,2,2A,0226,2021/03/03 22:26:00+00
6124,1506952,2399,2,LARCENY,484 PC PETTY THEFT,2,2A,0505,2021/03/02 21:17:00+00
6125,1506954,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,5,5A,1501,2021/03/03 21:25:00+00
6126,1506956,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3A,0706,2021/03/01 06:57:00+00
6127,1506957,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6E,1106,2021/02/25 21:55:00+00
6128,1506958,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,4,4B,1351,2021/03/05 22:28:00+00
6129,1506960,5401,0,TRAFFIC,20002(A) HIT/RUN-PROP DAMAGE,2,2A,0215,2021/03/06 09:01:00+00
6130,1506961,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,5,5C,1642,2021/03/08 22:00:00+00
6131,1506962,2299,01,BURGLARY,459 PC BURGLARY:VEHICLE,1,1C,0438,2021/03/08 14:11:00+00
6132,1506963,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,4,4B,1354,2021/03/07 01:21:00+00
6133,1506964,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6C,1111,2021/02/02 23:20:00+00
6134,1506966,3599,35,NARCOTICS,11378 HS POSS CNTRL SUB/SALE,6,6E,0899,2021/03/08 20:00:00+00
6135,1506969,5401,0,TRAFFIC,20002(A) HIT/RUN-PROP DAMAGE,3,3B,0738,2021/02/15 14:31:00+00
6136,1506970,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6C,1141,2021/03/06 01:30:00+00
6137,1506971,5213,7,WEAPON OFFENSE,247(B) PC SHOOT UNOCC BLDG/VEH,1,1C,0447,2021/03/08 18:25:00+00
6138,1506972,5401,0,TRAFFIC,20002(A) HIT/RUN-PROP DAMAGE,2,2A,0224,2021/02/26 02:18:00+00
6139,1506975,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,5,5B,1603,2021/03/07 03:32:00+00
6140,1506976,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3M,0735,2021/02/20 08:46:00+00
6141,1506977,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2A,0512,2021/03/06 15:51:00+00
6142,1506978,5401,0,TRAFFIC,20002(A) HIT/RUN-PROP DAMAGE,2,2A,0516,2021/03/07 18:50:00+00
6143,1506979,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,6,6C,1448,2021/02/28 03:24:00+00
6144,1506980,5403,1,TRAFFIC,23152(F) DUI DRUGS,UI,UI,UI,2021/03/08 07:27:00+00
6145,1506981,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,1,1A,0145,2021/02/27 23:30:00+00
6146,1506983,2399,23,LARCENY,487(A) GRAND THFT-RECYCL METAL,2,2A,0212,2021/03/05 10:10:00+00
6147,1506984,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5B,1621,2021/03/05 02:27:00+00
6148,1506985,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2C,0611,2021/03/06 18:14:00+00
6149,1506986,2299,01,BURGLARY,459 PC BURGLARY:VEHICLE,2,2A,0233,2021/03/05 08:00:00+00
6150,1506987,3599,61,NARCOTICS,11350(A) POSS CONTROLLED SUBST,2,2C,0602,2021/03/06 08:00:00+00
6151,1506988,5401,0,TRAFFIC,20002(A) HIT/RUN-PROP DAMAGE,6,6B,1064,2021/02/25 18:10:00+00
6152,1506989,2399,31,LARCENY,487(D)(2) GRAND THFT GUN >$950,2,2B,0525,2021/03/01 01:44:00+00
6153,1506990,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,2,2C,0619,2021/03/01 22:18:00+00
6154,1506993,2299,01,BURGLARY,459 PC BURGLARY:VEHICLE,1,1A,0336,2021/03/05 04:00:00+00
6155,1506994,5401,0,TRAFFIC,20002(A) HIT/RUN-PROP DAMAGE,3,3A,0721,2021/02/20 19:14:00+00
6156,1506998,2299,01,BURGLARY,459 PC BURGLARY:VEHICLE,1,1A,0324,2021/03/07 17:00:00+00
6157,1506999,5401,0,TRAFFIC,20002(A) HIT/RUN-PROP DAMAGE,3,3A,0785,2021/03/04 21:40:00+00
6158,1507000,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6B,1421,2021/03/08 18:09:00+00
6159,1507001,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,5,5B,1369,2021/03/07 05:30:00+00
6160,1507002,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,6,6E,1106,2021/03/08 07:38:00+00
6161,1507006,5212,68,WEAPON OFFENSE,25850(A) LOADED GUN IN PUB-F,5,5B,1621,2021/03/06 23:22:00+00
6162,1507007,5403,1,TRAFFIC,23152(F) DUI DRUGS,3,3M,0741,2021/03/08 04:26:00+00
6163,1507008,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,1,1C,0429,2021/03/08 08:32:00+00
6164,1507009,5299,119,WEAPON OFFENSE,22810(A) FEL POSS TEARGAS-FEL,3,3B,0718,2021/03/09 06:35:00+00
6165,1507010,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2A,0513,2021/03/08 00:30:00+00
6166,1507011,1299,2,ROBBERY,211 PC ROBBERY-BUSINESS,1,1B,0440,2021/02/24 04:30:00+00
6167,1507012,2399,23,LARCENY,487(A) GRAND THFT-RECYCL METAL,4,4A,0944,2021/03/07 06:45:00+00
6168,1507014,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,5,5A,1371,2021/03/09 00:10:00+00
6169,1507019,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4A,0907,2021/03/09 01:00:00+00
